palette,appearance,role,raw,resolved,variant,minimum,raw_ratio,resolved_ratio,backgrounds
blue,light,success,#167442,#0e6f3e,contrast-enhanced,4.5,4.240964,4.554977,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,caution,#975800,#8e5300,contrast-enhanced,4.5,4.125780,4.520754,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
blue,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,9.877935,9.877935,#203c6e
blue,light,effectText,#171a20,#111319,contrast-enhanced,4.5,4.233487,4.510571,#717e92
blue,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,accentText,#203c6e,#7a9cd5,contrast-enhanced,4.5,1.162940,4.538681,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,selectedAccent,#203c6e,#203c6e,authored,4.5,9.877935,9.877935,#f4f4f4
blue,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
blue,dark,focus,#203c6e,#5c7cb3,contrast-enhanced,3,1.162940,3.001668,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,chartPrimary,#0e3b8f,#679af6,contrast-enhanced,4.5,1.227903,4.530256,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,chartSecondary,#c2d1e6,#c2d1e6,authored,4.5,8.156383,8.156383,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,indicator,#203c6e,#5c7cb3,contrast-enhanced,3,1.162940,3.001668,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,effectSurface,#c2d1e6,#c2d1e6,authored,3,8.156383,8.156383,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,alert,#ff7770,#ff7770,authored,4.5,4.888228,4.888228,#1a1a1a|#0f0f0f|#262626|#333333
blue,dark,accentFillText,#171a20,#171a20,authored,4.5,6.260109,6.260109,#7a9cd5
blue,dark,effectText,#171a20,#171a20,authored,4.5,11.249930,11.249930,#c2d1e6
silver,light,text,#171a20,#171a20,authored,4.5,12.708117,12.708117,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,metadata,#60636a,#5f6168,contrast-enhanced,4.5,4.387656,4.508917,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,accentText,#a6a7a3,#61615e,contrast-enhanced,4.5,1.764727,4.531018,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,selectedAccent,#a6a7a3,#a6a7a3,authored,4.5,7.201178,7.201178,#171a20
silver,light,selectedText,#f4f4f4,#f4f4f4,authored,4.5,15.844389,15.844389,#171a20
silver,light,focus,#a6a7a3,#7d7d7a,contrast-enhanced,3,1.764727,3.010707,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,boundary,#60636a,#60636a,authored,3,4.387656,4.387656,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,chartPrimary,#a8aba6,#5f625e,contrast-enhanced,4.5,1.693869,4.510337,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,chartSecondary,#476b8f,#406488,contrast-enhanced,4.5,4.064589,4.508879,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,indicator,#a6a7a3,#7d7d7a,contrast-enhanced,3,1.764727,3.010707,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,effectSurface,#476b8f,#476b8f,authored,3,4.064589,4.064589,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,success,#167442,#0e6f3e,contrast-enhanced,4.5,4.240964,4.554977,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,caution,#975800,#8e5300,contrast-enhanced,4.5,4.125780,4.520754,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
silver,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,5.649241,5.649241,#61615e
silver,light,effectText,#f4f4f4,#f4f4f4,authored,4.5,5.067700,5.067700,#476b8f
silver,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,accentText,#a6a7a3,#a6a7a3,authored,4.5,5.220972,5.220972,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,selectedAccent,#a6a7a3,#70706d,contrast-enhanced,4.5,2.200250,4.516495,#f4f4f4
silver,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
silver,dark,focus,#a6a7a3,#a6a7a3,authored,3,5.220972,5.220972,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,chartPrimary,#a8aba6,#a8aba6,authored,4.5,5.439378,5.439378,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,chartSecondary,#476b8f,#789ec4,contrast-enhanced,4.5,2.266796,4.504232,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,indicator,#a6a7a3,#a6a7a3,authored,3,5.220972,5.220972,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,effectSurface,#476b8f,#5a7fa4,contrast-enhanced,3,2.266796,3.012191,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,alert,#ff7770,#ff7770,authored,4.5,4.888228,4.888228,#1a1a1a|#0f0f0f|#262626|#333333
silver,dark,accentFillText,#171a20,#171a20,authored,4.5,7.201178,7.201178,#a6a7a3
silver,dark,effectText,#171a20,#0e1117,contrast-enhanced,4.5,4.154652,4.505434,#5a7fa4
neon,light,text,#171a20,#171a20,authored,4.5,12.708117,12.708117,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,metadata,#60636a,#5f6168,contrast-enhanced,4.5,4.387656,4.508917,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,accentText,#ff2d95,#be006b,contrast-enhanced,4.5,2.526483,4.501779,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,selectedAccent,#ff2d95,#ff2d95,authored,4.5,5.029964,5.029964,#171a20
neon,light,selectedText,#f4f4f4,#f4f4f4,authored,4.5,15.844389,15.844389,#171a20
neon,light,focus,#ff2d95,#ef1088,contrast-enhanced,3,2.526483,3.002852,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,boundary,#60636a,#60636a,authored,3,4.387656,4.387656,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,chartPrimary,#ff1a85,#bf0061,contrast-enhanced,4.5,2.668643,4.520184,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,chartSecondary,#2eff5c,#007120,contrast-enhanced,4.5,1.017033,4.526836,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,indicator,#ff2d95,#ef1088,contrast-enhanced,3,2.526483,3.002852,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,effectSurface,#2eff5c,#00912b,contrast-enhanced,3,1.017033,3.011552,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,success,#167442,#0e6f3e,contrast-enhanced,4.5,4.240964,4.554977,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,caution,#975800,#8e5300,contrast-enhanced,4.5,4.125780,4.520754,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
neon,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,5.612786,5.612786,#be006b
neon,light,effectText,#171a20,#101319,contrast-enhanced,4.5,4.219790,4.503154,#00912b
neon,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,accentText,#ff2d95,#ff61a3,contrast-enhanced,4.5,3.646806,4.506809,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,selectedAccent,#ff2d95,#d9007a,contrast-enhanced,4.5,3.150001,4.512302,#f4f4f4
neon,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
neon,dark,focus,#ff2d95,#ff2d95,authored,3,3.646806,3.646806,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,chartPrimary,#ff1a85,#ff639a,contrast-enhanced,4.5,3.452539,4.514395,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,chartSecondary,#2eff5c,#2eff5c,authored,4.5,9.370527,9.370527,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,indicator,#ff2d95,#ff2d95,authored,3,3.646806,3.646806,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,effectSurface,#2eff5c,#2eff5c,authored,3,9.370527,9.370527,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,alert,#ff7770,#ff7770,authored,4.5,4.888228,4.888228,#1a1a1a|#0f0f0f|#262626|#333333
neon,dark,accentFillText,#171a20,#171a20,authored,4.5,6.216148,6.216148,#ff61a3
neon,dark,effectText,#171a20,#171a20,authored,4.5,12.924573,12.924573,#2eff5c
mint,light,text,#171a20,#171a20,authored,4.5,12.708117,12.708117,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,metadata,#60636a,#5f6168,contrast-enhanced,4.5,4.387656,4.508917,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,accentText,#a8e6cf,#2f6b58,contrast-enhanced,4.5,1.028834,4.551114,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,selectedAccent,#a8e6cf,#a8e6cf,authored,4.5,12.351965,12.351965,#171a20
mint,light,selectedText,#f4f4f4,#f4f4f4,authored,4.5,15.844389,15.844389,#171a20
mint,light,focus,#a8e6cf,#4d8874,contrast-enhanced,3,1.028834,3.008967,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,boundary,#60636a,#60636a,authored,3,4.387656,4.387656,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,chartPrimary,#99e6c9,#1b6d55,contrast-enhanced,4.5,1.054922,4.550612,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,chartSecondary,#db3899,#ba047d,contrast-enhanced,4.5,3.039875,4.502330,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,indicator,#a8e6cf,#4d8874,contrast-enhanced,3,1.028834,3.008967,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,effectSurface,#db3899,#db3899,authored,3,3.039875,3.039875,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,success,#167442,#0e6f3e,contrast-enhanced,4.5,4.240964,4.554977,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,caution,#975800,#8e5300,contrast-enhanced,4.5,4.125780,4.520754,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
mint,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,5.674297,5.674297,#2f6b58
mint,light,effectText,#171a20,#0f1217,contrast-enhanced,4.5,4.180474,4.501104,#db3899
mint,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,accentText,#a8e6cf,#a8e6cf,authored,4.5,8.955377,8.955377,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,selectedAccent,#a8e6cf,#3f7b67,contrast-enhanced,4.5,1.282742,4.502704,#f4f4f4
mint,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
mint,dark,focus,#a8e6cf,#a8e6cf,authored,3,8.955377,8.955377,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,chartPrimary,#99e6c9,#99e6c9,authored,4.5,8.733913,8.733913,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,chartSecondary,#db3899,#ff5db8,contrast-enhanced,4.5,3.030912,4.518320,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,indicator,#a8e6cf,#a8e6cf,authored,3,8.955377,8.955377,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,effectSurface,#db3899,#db3899,authored,3,3.030912,3.030912,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
mint,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
