palette,appearance,role,raw,resolved,variant,minimum,raw_ratio,resolved_ratio,backgrounds
signal,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
signal,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,5.634145,5.634145,#c50304
signal,light,effectText,#171a20,#101319,contrast-enhanced,4.5,4.217026,4.500204,#4482b2
signal,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,accentText,#e4362a,#ff6b5a,contrast-enhanced,4.5,2.923958,4.514010,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,selectedAccent,#e4362a,#d8281e,contrast-enhanced,4.5,3.928731,4.500942,#f4f4f4
signal,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
signal,dark,focus,#e4362a,#e7392c,contrast-enhanced,3,2.923958,3.019926,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,chartPrimary,#e33024,#ff6b59,contrast-enhanced,4.5,2.836441,4.511975,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,chartSecondary,#8cccff,#8cccff,authored,4.5,7.337868,7.337868,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,indicator,#e4362a,#e7392c,contrast-enhanced,3,2.923958,3.019926,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,effectSurface,#8cccff,#8cccff,authored,3,7.337868,7.337868,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,alert,#ff7770,#ff7770,authored,4.5,4.888228,4.888228,#1a1a1a|#0f0f0f|#262626|#333333
signal,dark,accentFillText,#171a20,#171a20,authored,4.5,6.226080,6.226080,#ff6b5a
signal,dark,effectText,#171a20,#171a20,authored,4.5,10.120968,10.120968,#8cccff
sulphur,light,text,#171a20,#171a20,authored,4.5,12.708117,12.708117,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,metadata,#60636a,#5f6168,contrast-enhanced,4.5,4.387656,4.508917,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,accentText,#e6d02a,#6d6200,contrast-enhanced,4.5,1.141090,4.507639,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,selectedAccent,#e6d02a,#e6d02a,authored,4.5,11.136818,11.136818,#171a20
sulphur,light,selectedText,#f4f4f4,#f4f4f4,authored,4.5,15.844389,15.844389,#171a20
sulphur,light,focus,#e6d02a,#8c7e00,contrast-enhanced,3,1.141090,3.003054,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,boundary,#60636a,#60636a,authored,3,4.387656,4.387656,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,chartPrimary,#e6d129,#6d6200,contrast-enhanced,4.5,1.132951,4.507639,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,chartSecondary,#663dd1,#663dd1,authored,4.5,4.856700,4.856700,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,indicator,#e6d02a,#8c7e00,contrast-enhanced,3,1.141090,3.003054,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,effectSurface,#663dd1,#663dd1,authored,3,4.856700,4.856700,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,success,#167442,#0e6f3e,contrast-enhanced,4.5,4.240964,4.554977,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,caution,#975800,#8e5300,contrast-enhanced,4.5,4.125780,4.520754,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,alert,#bb282d,#ba262c,contrast-enhanced,4.5,4.433190,4.502178,#f4f4f4|#f4f4f4|#e6e6e6|#dcdcdc
sulphur,light,accentFillText,#f4f4f4,#f4f4f4,authored,4.5,5.620092,5.620092,#6d6200
sulphur,light,effectText,#f4f4f4,#f4f4f4,authored,4.5,6.055298,6.055298,#663dd1
sulphur,dark,text,#f4f4f4,#f4f4f4,authored,4.5,11.487442,11.487442,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,metadata,#b0b0b0,#b0b0b0,authored,4.5,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,accentText,#e6d02a,#e6d02a,authored,4.5,8.074376,8.074376,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,selectedAccent,#e6d02a,#7e7000,contrast-enhanced,4.5,1.422703,4.540825,#f4f4f4
sulphur,dark,selectedText,#171a20,#171a20,authored,4.5,15.844389,15.844389,#f4f4f4
sulphur,dark,focus,#e6d02a,#e6d02a,authored,3,8.074376,8.074376,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,boundary,#b0b0b0,#b0b0b0,authored,3,5.825823,5.825823,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,chartPrimary,#e6d129,#e6d129,authored,4.5,8.132388,8.132388,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,chartSecondary,#663dd1,#9d8aff,contrast-enhanced,4.5,1.897089,4.520205,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,indicator,#e6d02a,#e6d02a,authored,3,8.074376,8.074376,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,effectSurface,#663dd1,#8361f6,contrast-enhanced,3,1.897089,3.011681,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,success,#55d991,#55d991,authored,4.5,7.051501,7.051501,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,caution,#f3a84c,#f3a84c,authored,4.5,6.327164,6.327164,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,alert,#ff7770,#ff7770,authored,4.5,4.888228,4.888228,#1a1a1a|#0f0f0f|#262626|#333333
sulphur,dark,accentFillText,#171a20,#171a20,authored,4.5,11.136818,11.136818,#e6d02a
sulphur,dark,effectText,#171a20,#0e1117,contrast-enhanced,4.5,4.153949,4.504672,#8361f6
